book_title,authors,description,cover_img,page_count,category,location,book_format,ratings
Springer Handbook of Robotics,Bruno Siciliano,"With the science of robotics undergoing a major transformation just now, Springer’s new, authoritative handbook on the subject couldn’t have come at a better time. Having broken free from its origins in industry, robotics has been rapidly expanding into the challenging terrain of unstructured environments. Unlike other handbooks that focus on industrial applications, the Springer Handbook of Robotics incorporates these new developments. Just like all Springer Handbooks, it is utterly comprehensive, edited by internationally renowned experts, and replete with contributions from leading researchers from around the world. The handbook is an ideal resource for robotics experts but also for people new to this expanding field.",https://covers.openlibrary.org/b/id/5363515-L.jpg,1626.0,Artificial Intelligence and Robotics,Babcock University,hard_copy,3
The Quest for Artificial Intelligence,Nils J. Nilsson,"Intended both as a text for advanced undergraduates and graduate students, and as a key reference work for AI researchers and developers, Logical Foundations of Artificial Intelligence is a lucid, rigorous, and comprehensive account of the fundamentals of artificial intelligence from the standpoint of logic. The first section of the book introduces the logicist approach to AI--discussing the representation of declarative knowledge and featuring an introduction to the process of conceptualization, the syntax and semantics of predicate calculus, and the basics of other declarative representations such as frames and semantic nets. This section also provides a simple but powerful inference procedure, resolution, and shows how it can be used in a reasoning system. The next several chapters discuss nonmonotonic reasoning, induction, and reasoning under uncertainty, broadening the logical approach to deal with the inadequacies of strict logical deduction. The third section introduces modal operators that facilitate representing and reasoning about knowledge. This section also develops the process of writing predicate calculus sentences to the metalevel--to permit sentences about sentences and about reasoning processes. The final three chapters discuss the representation of knowledge about states and actions, planning, and intelligent system architecture. End-of-chapter bibliographic and historical comments provide background and point to other works of interest and research. Each chapter also contains numerous student exercises (with solutions provided in an appendix) to reinforce concepts and challenge the learner. A bibliography and index complete this comprehensive work.",https://covers.openlibrary.org/b/id/8712766-L.jpg,427.0,Artificial Intelligence and Robotics,Lead City University,hard_copy,5
Learning OpenCV 3,"Adrian Kaehler, Gary Bradski","""This book provides a working guide to the C++ Open Source Computer Vision Library (OpenCV) version 3.x and gives a general background on the field of computer vision sufficient to help readers use OpenCV effectively.""--Preface.",https://covers.openlibrary.org/b/id/8512391-L.jpg,1023.0,Artificial Intelligence and Robotics,Afe Babalola University,hard_copy,3
"
Artificial Intelligence: Foundations of Computational Agents""","David L. Poole, Alan K. Mackworth","A comprehensive learning resource for undergraduate and graduate students, with new chapters on deep learning, causality, and social impact.",http://books.google.com/books/content?id=ljHEEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,897.0,Artificial Intelligence and Robotics,University of Benin,hard_copy,4
Robot Ethics: The Ethical and Social Implications of Robotics,Patrick Lin,"The robot population is rising on Earth and other planets. (Mars is inhabited entirely by robots.) As robots slip into more domains of human life--from the operating room to the bedroom--they take on our morally important tasks and decisions, as well as create new risks from psychological to physical. This makes it all the more urgent to study their ethical, legal, and policy impacts. To help the robotics industry and broader society, we need to not only press ahead on a wide range of issues, but also identify new ones emerging as quickly as the field is evolving. For instance, where military robots had received much attention in the past (and are still controversial today), this volume looks toward autonomous cars here as an important case study that cuts across diverse issues, from liability to psychology to trust and more. And because robotics feeds into and is fed by AI, the Internet of Things, and other cognate fields, robot ethics must also reach into those domains, too. Expanding these discussions also means listening to new voices; robot ethics is no longer the concern of a handful of scholars. Experts from different academic disciplines and geographical areas are now playing vital roles in shaping ethical, legal, and policy discussions worldwide. So, for a more complete study, the editors of this volume look beyond the usual suspects for the latest thinking. Many of the views as represented in this cutting-edge volume are provocative--but also what we need to push forward in unfamiliar territory.",http://books.google.com/books/content?id=y2EwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,441.0,Artificial Intelligence and Robotics,"University of Nigeria, Nsukka",hard_copy,4
Python for Data Analysis,Wes McKinney,"Get the definitive handbook for manipulating, processing, cleaning, and crunching datasets in Python. Updated for Python 3.10 and pandas 1.4, the third edition of this hands-on guide is packed with practical case studies that show you how to solve a broad set of data analysis problems effectively. You'll learn the latest versions of pandas, NumPy, and Jupyter in the process. Written by Wes McKinney, the creator of the Python pandas project, this book is a practical, modern introduction to data science tools in Python. It's ideal for analysts new to Python and for Python programmers new to data science and scientific computing. Data files and related material are available on GitHub. Use the Jupyter notebook and IPython shell for exploratory computing Learn basic and advanced features in NumPy Get started with data analysis tools in the pandas library Use flexible tools to load, clean, transform, merge, and reshape data Create informative visualizations with matplotlib Apply the pandas groupby facility to slice, dice, and summarize datasets Analyze and manipulate regular and irregular time series data Learn how to solve real-world data analysis problems with thorough, detailed examples",https://covers.openlibrary.org/b/id/7548132-L.jpg,582.0,Data Science,University of Ibadan,soft_copy,5
The Art of Statistics,David Spiegelhalter,"In this ""important and comprehensive"" guide to statistical thinking (New Yorker), discover how data literacy is changing the world and gives you a better understanding of life’s biggest problems. Statistics are everywhere, as integral to science as they are to business, and in the popular media hundreds of times a day. In this age of big data, a basic grasp of statistical literacy is more important than ever if we want to separate the fact from the fiction, the ostentatious embellishments from the raw evidence -- and even more so if we hope to participate in the future, rather than being simple bystanders. In The Art of Statistics, world-renowned statistician David Spiegelhalter shows readers how to derive knowledge from raw data by focusing on the concepts and connections behind the math. Drawing on real world examples to introduce complex issues, he shows us how statistics can help us determine the luckiest passenger on the Titanic, whether a notorious serial killer could have been caught earlier, and if screening for ovarian cancer is beneficial. The Art of Statistics not only shows us how mathematicians have used statistical science to solve these problems -- it teaches us how we too can think like statisticians. We learn how to clarify our questions, assumptions, and expectations when approaching a problem, and -- perhaps even more importantly -- we learn how to responsibly interpret the answers we receive. Combining the incomparable insight of an expert with the playful enthusiasm of an aficionado, The Art of Statistics is the definitive guide to stats that every modern person needs.",http://books.google.com/books/content?id=04-FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,376.0,Data Science,Lagos State University,hard_copy,4
Data Science from Scratch,Joel Grus,"Data science libraries, frameworks, modules, and toolkits are great for doing data science, but they’re also a good way to dive into the discipline without actually understanding data science. With this updated second edition, you’ll learn how many of the most fundamental data science tools and algorithms work by implementing them from scratch. If you have an aptitude for mathematics and some programming skills, author Joel Grus will help you get comfortable with the math and statistics at the core of data science, and with hacking skills you need to get started as a data scientist. Today’s messy glut of data holds answers to questions no one’s even thought to ask. This book provides you with the know-how to dig those answers out.",https://covers.openlibrary.org/b/id/12672936-L.jpg,398.0,Data Science,Bells University of Technology,soft_copy,5
Introduction to Statistical Learning,"Gareth James, et al.","An Introduction to Statistical Learning provides an accessible overview of the field of statistical learning, an essential toolset for making sense of the vast and complex data sets that have emerged in fields ranging from biology to finance, marketing, and astrophysics in the past twenty years. This book presents some of the most important modeling and prediction techniques, along with relevant applications. Topics include linear regression, classification, resampling methods, shrinkage approaches, tree-based methods, support vector machines, clustering, deep learning, survival analysis, multiple testing, and more. Color graphics and real-world examples are used to illustrate the methods presented. This book is targeted at statisticians and non-statisticians alike, who wish to use cutting-edge statistical learning techniques to analyze their data. Four of the authors co-wrote An Introduction to Statistical Learning, With Applications in R (ISLR), which has become a mainstay of undergraduate and graduate classrooms worldwide, as well as an important reference book for data scientists. One of the keys to its success was that each chapter contains a tutorial on implementing the analyses and methods presented in the R scientific computing environment. However, in recent years Python has become a popular language for data science, and there has been increasing demand for a Python-based alternative to ISLR. Hence, this book (ISLP) covers the same materials as ISLR but with labs implemented in Python. These labs will be useful both for Python novices, as well as experienced users.",http://books.google.com/books/content?id=GfAF0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0,Data Science,Pan-Atlantic University,hard_copy,5
Storytelling with Data,Cole Nussbaumer Knaflic,"Don't simply show your data—tell a story with it! Storytelling with Data teaches you the fundamentals of data visualization and how to communicate effectively with data. You'll discover the power of storytelling and the way to make data a pivotal point in your story. The lessons in this illuminative text are grounded in theory, but made accessible through numerous real-world examples—ready for immediate application to your next graph or presentation. Storytelling is not an inherent skill, especially when it comes to data visualization, and the tools at our disposal don't make it any easier. This book demonstrates how to go beyond conventional tools to reach the root of your data, and how to use your data to create an engaging, informative, compelling story. Specifically, you'll learn how to: Understand the importance of context and audience Determine the appropriate type of graph for your situation Recognize and eliminate the clutter clouding your information Direct your audience's attention to the most important parts of your data Think like a designer and utilize concepts of design in data visualization Leverage the power of storytelling to help your message resonate with your audience Together, the lessons in this book will help you turn your data into high impact visual stories that stick with your audience. Rid your world of ineffective graphs, one exploding 3D pie chart at a time. There is a story in your data—Storytelling with Data will give you the skills and power to tell it!",http://books.google.com/books/content?id=retRCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,292.0,Data Science,Afe Babalola University,hard_copy,4
Mining of Massive Datasets,"Jure Leskovec, et al.","Now in its third edition, this book focuses on practical algorithms for mining data from even the largest datasets.",http://books.google.com/books/content?id=S4HCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,566.0,Data Science,"University of Nigeria, Nsukka",hard_copy,5
R for Data Science,"Hadley Wickham, Garrett Grolemund","Learn how to use R to turn raw data into insight, knowledge, and understanding. This book introduces you to R, RStudio, and the tidyverse, a collection of R packages designed to work together to make data science fast, fluent, and fun. Suitable for readers with no previous programming experience, R for Data Science is designed to get you doing data science as quickly as possible. Authors Hadley Wickham and Garrett Grolemund guide you through the steps of importing, wrangling, exploring, and modeling your data and communicating the results. You'll get a complete, big-picture understanding of the data science cycle, along with basic tools you need to manage the details. Each section of the book is paired with exercises to help you practice what you've learned along the way. You'll learn how to: Wrangle—transform your datasets into a form convenient for analysis Program—learn powerful R tools for solving data problems with greater clarity and ease Explore—examine your data, generate hypotheses, and quickly test them Model—provide a low-dimensional summary that captures true ""signals"" in your dataset Communicate—learn R Markdown for integrating prose, code, and results",https://covers.openlibrary.org/b/id/8512393-L.jpg,521.0,Data Science,Ahmadu Bello University,hard_copy,5
Fundamentals of Data Visualization,Claus O. Wilke,"Effective visualization is the best way to communicate information from the increasingly large and complex datasets in the natural and social sciences. But with the increasing power of visualization software today, scientists, engineers, and business analysts often have to navigate a bewildering array of visualization choices and options. This practical book takes you through many commonly encountered visualization problems, and it provides guidelines on how to turn large datasets into clear and compelling figures. What visualization type is best for the story you want to tell? How do you make informative figures that are visually pleasing? Author Claus O. Wilke teaches you the elements most critical to successful data visualization. Explore the basic concepts of color as a tool to highlight, distinguish, or represent a value Understand the importance of redundant coding to ensure you provide key information in multiple ways Use the book’s visualizations directory, a graphical guide to commonly used types of data visualizations Get extensive examples of good and bad figures Learn how to use figures in a document or report and how employ them effectively to tell a compelling story",https://covers.openlibrary.org/b/id/9173250-L.jpg,390.0,Data Science,Covenant University,soft_copy,5
Data Science for Business,"Foster Provost, Tom Fawcett","Annotation This broad, deep, but not-too-technical guide introduces you to the fundamental principles of data science and walks you through the ""data-analytic thinking"" necessary for extracting useful knowledge and business value from the data you collect. By learning data science principles, you will understand the many data-mining techniques in use today. More importantly, these principles underpin the processes and strategies necessary to solve business problems through data mining techniques.",https://covers.openlibrary.org/b/id/7440864-L.jpg,414.0,Data Science,Covenant University,soft_copy,5
Practical Statistics for Data Scientists,"Peter Bruce, Andrew Bruce","Statistical methods are a key part of of data science, yet very few data scientists have any formal statistics training. Courses and books on basic statistics rarely cover the topic from a data science perspective. This practical guide explains how to apply various statistical methods to data science, tells you how to avoid their misuse, and gives you advice on what's important and what's not. Many data science resources incorporate statistical methods but lack a deeper statistical perspective. If you’re familiar with the R programming language, and have some exposure to statistics, this quick reference bridges the gap in an accessible, readable format. With this book, you’ll learn: Why exploratory data analysis is a key preliminary step in data science How random sampling can reduce bias and yield a higher quality dataset, even with big data How the principles of experimental design yield definitive answers to questions How to use regression to estimate outcomes and detect anomalies Key classification techniques for predicting which categories a record belongs to Statistical machine learning methods that “learn” from data Unsupervised learning methods for extracting meaning from unlabeled data",https://covers.openlibrary.org/b/id/8512070-L.jpg,317.0,Data Science,Lead City University,soft_copy,4
Machine Learning Engineering,Andriy Burkov,"From the author of a world bestseller published in eleven languages, The Hundred-Page Machine Learning Book, this new book by Andriy Burkov is the most complete applied AI book out there. It is filled with best practices and design patterns of building reliable machine learning solutions that scale. Andriy Burkov has a Ph.D. in AI and is the leader of a machine learning team at Gartner. This book is based on Andriy's own 15 years of experience in solving problems with AI as well as on the published experience of the industry leaders. ""If you intend to use machine learning to solve business problems at scale, I'm delighted you got your hands on this book."" -Cassie Kozyrkov, Chief Decision Scientist at Google ""Foundational work about the reality of building machine learning models in production."" -Karolis Urbonas, Head of Machine Learning and Science at Amazon",https://covers.openlibrary.org/b/id/10431943-L.jpg,310.0,Data Science,Bells University of Technology,hard_copy,3
Big Data: Principles and Best Practices,Nathan Marz,"Summary Big Data teaches you to build big data systems using an architecture that takes advantage of clustered hardware along with new tools designed specifically to capture and analyze web-scale data. It describes a scalable, easy-to-understand approach to big data systems that can be built and run by a small team. Following a realistic example, this book guides readers through the theory of big data systems, how to implement them in practice, and how to deploy and operate them once they're built. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Book Web-scale applications like social networks, real-time analytics, or e-commerce sites deal with a lot of data, whose volume and velocity exceed the limits of traditional database systems. These applications require architectures built around clusters of machines to store and process data of any size, or speed. Fortunately, scale and simplicity are not mutually exclusive. Big Data teaches you to build big data systems using an architecture designed specifically to capture and analyze web-scale data. This book presents the Lambda Architecture, a scalable, easy-to-understand approach that can be built and run by a small team. You'll explore the theory of big data systems and how to implement them in practice. In addition to discovering a general framework for processing big data, you'll learn specific technologies like Hadoop, Storm, and NoSQL databases. This book requires no previous exposure to large-scale data analysis or NoSQL tools. Familiarity with traditional databases is helpful. What's Inside Introduction to big data systems Real-time processing of web-scale data Tools like Hadoop, Cassandra, and Storm Extensions to traditional database skills About the Authors Nathan Marz is the creator of Apache Storm and the originator of the Lambda Architecture for big data systems. James Warren is an analytics architect with a background in machine learning and scientific computing. Table of Contents A new paradigm for Big Data PART 1 BATCH LAYER Data model for Big Data Data model for Big Data: Illustration Data storage on the batch layer Data storage on the batch layer: Illustration Batch layer Batch layer: Illustration An example batch layer: Architecture and algorithms An example batch layer: Implementation PART 2 SERVING LAYER Serving layer Serving layer: Illustration PART 3 SPEED LAYER Realtime views Realtime views: Illustration Queuing and stream processing Queuing and stream processing: Illustration Micro-batch stream processing Micro-batch stream processing: Illustration Lambda Architecture in depth",http://books.google.com/books/content?id=XjszEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,498.0,Data Science,Lagos State University,hard_copy,4
Doing Data Science,"Cathy O'Neil, Rachel Schutt","A guide to the usefulness of data science covers such topics as algorithms, logistic regression, financial modeling, data visualization, and data engineering.",http://books.google.com/books/content?id=ycNKAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,407.0,Data Science,Obafemi Awolowo University,soft_copy,4
Data Science on AWS,"Chris Fregly, Antje Barth","With this practical book, AI and machine learning practitioners will learn how to successfully build and deploy data science projects on Amazon Web Services. The Amazon AI and machine learning stack unifies data science, data engineering, and application development to help level up your skills. This guide shows you how to build and run pipelines in the cloud, then integrate the results into applications in minutes instead of days. Throughout the book, authors Chris Fregly and Antje Barth demonstrate how to reduce cost and improve performance. Apply the Amazon AI and ML stack to real-world use cases for natural language processing, computer vision, fraud detection, conversational devices, and more Use automated machine learning to implement a specific subset of use cases with SageMaker Autopilot Dive deep into the complete model development lifecycle for a BERT-based NLP use case including data ingestion, analysis, model training, and deployment Tie everything together into a repeatable machine learning operations pipeline Explore real-time ML, anomaly detection, and streaming analytics on data streams with Amazon Kinesis and Managed Streaming for Apache Kafka Learn security best practices for data science projects and workflows including identity and access management, authentication, authorization, and more",https://covers.openlibrary.org/b/id/11085790-L.jpg,524.0,Data Science,Afe Babalola University,hard_copy,3
Advanced Analytics with Spark,"Sandy Ryza, et al.","In the second edition of this practical book, four Cloudera data scientists present a set of self-contained patterns for performing large-scale data analysis with Spark. The authors bring Spark, statistical methods, and real-world data sets together to teach you how to approach analytics problems by example. Updated for Spark 2.1, this edition acts as an introduction to these techniques and other best practices in Spark programming. You’ll start with an introduction to Spark and its ecosystem, and then dive into patterns that apply common techniques—including classification, clustering, collaborative filtering, and anomaly detection—to fields such as genomics, security, and finance. If you have an entry-level understanding of machine learning and statistics, and you program in Java, Python, or Scala, you’ll find the book’s patterns useful for working on your own data applications. With this book, you will: Familiarize yourself with the Spark programming model Become comfortable within the Spark ecosystem Learn general approaches in data science Examine complete implementations that analyze large public data sets Discover which machine learning tools make sense for particular problems Acquire code that can be adapted to many uses",http://books.google.com/books/content?id=NJwnDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,275.0,Data Science,Lagos State University,hard_copy,3
Natural Language Processing with Python,"Steven Bird, et al.","This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation. With it, you'll learn how to write Python programs that work with large collections of unstructured text. You'll access richly annotated datasets using a comprehensive range of linguistic data structures, and you'll understand the main algorithms for analyzing the content and structure of written communication. Packed with examples and exercises, Natural Language Processing with Python will help you: Extract information from unstructured text, either to guess the topic or identify ""named entities"" Analyze linguistic structure in text, including parsing and semantic analysis Access popular linguistic databases, including WordNet and treebanks Integrate techniques drawn from fields as diverse as linguistics and artificial intelligence This book will help you gain practical skills in natural language processing using the Python programming language and the Natural Language Toolkit (NLTK) open source library. If you're interested in developing web applications, analyzing multilingual news sources, or documenting endangered languages -- or if you're simply curious to have a programmer's perspective on how human language works -- you'll find Natural Language Processing with Python both fascinating and immensely useful.",http://books.google.com/books/content?id=KGIbfiiP1i4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,506.0,Data Science,Bells University of Technology,soft_copy,4
Time Series Analysis and Its Applications,Robert H. Shumway,"A balanced and comprehensive treatment of both time and frequency domain methods with accompanying theory. Numerous examples using non-trivial data illustrate solutions to problems, such as evaluating pain perception experiments using magnetic resonance imaging or monitoring a nuclear test ban treaty. Although designed as a text for graduate level students in statistics and the physical, biological and social sciences, some parts of the book will also serve as an undergraduate introductory course. Theory and methodology are separated to allow presentations on different levels, and the material has been updated by adding modern developments involving categorical time series analysis and the spectral envelope, multivariate spectral methods, long memory series, nonlinear models, longitudinal data analysis, resampling techniques, ARCH models, stochastic volatility, wavelets and Monte Carlo Markov chain integration methods. The book is supplemented by data and an exploratory time series analysis program ASTSA for Windows that can be downloaded from the Web as freeware.",http://books.google.com/books/content?id=V-fcBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,560.0,Data Science,University of Port Harcourt,hard_copy,5
Graph Algorithms,"Mark Needham, Amy E. Hodler","Discover how graph algorithms can help you leverage the relationships within your data to develop more intelligent solutions and enhance your machine learning models. You’ll learn how graph analytics are uniquely suited to unfold complex structures and reveal difficult-to-find patterns lurking in your data. Whether you are trying to build dynamic network models or forecast real-world behavior, this book illustrates how graph algorithms deliver value—from finding vulnerabilities and bottlenecks to detecting communities and improving machine learning predictions. This practical book walks you through hands-on examples of how to use graph algorithms in Apache Spark and Neo4j—two of the most common choices for graph analytics. Also included: sample code and tips for over 20 practical graph algorithms that cover optimal pathfinding, importance through centrality, and community detection. Learn how graph analytics vary from conventional statistical analysis Understand how classic graph algorithms work, and how they are applied Get guidance on which algorithms to use for different types of questions Explore algorithm examples with working code and sample datasets from Spark and Neo4j See how connected feature extraction can increase machine learning accuracy and precision Walk through creating an ML workflow for link prediction combining Neo4j and Spark",http://books.google.com/books/content?id=yYWZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,268.0,Data Science,"Federal University of Technology, Owerri",soft_copy,4
